timestamp_utc,frame_idx,ear,is_eye_closed,perclos,blink_count
2025-09-27T13:03:02.654677,177,0.3013,0,0.1017,2
2025-09-27T13:03:02.698610,178,0.3039,0,0.1011,2
2025-09-27T13:03:02.749113,179,0.3104,0,0.1006,2
2025-09-27T13:03:02.795552,180,0.3370,0,0.1000,2
2025-09-27T13:03:02.839846,181,0.3258,0,0.0994,2
2025-09-27T13:03:02.894169,182,0.3096,0,0.0989,2
2025-09-27T13:03:02.939600,183,0.3150,0,0.0984,2
2025-09-27T13:03:02.988820,184,0.3252,0,0.0978,2
2025-09-27T13:03:03.053095,185,0.3236,0,0.0973,2
2025-09-27T13:03:03.096801,186,0.2967,0,0.0968,2
2025-09-27T13:03:03.146992,187,0.3242,0,0.0963,2
2025-09-27T13:03:03.190786,188,0.3336,0,0.0957,2
2025-09-27T13:03:03.239619,189,0.3251,0,0.0952,2
2025-09-27T13:03:03.285217,190,0.3252,0,0.0947,2
2025-09-27T13:03:03.338057,191,0.3420,0,0.0942,2
2025-09-27T13:03:03.388286,192,0.3307,0,0.0938,2
2025-09-27T13:03:03.436524,193,0.3207,0,0.0933,2
2025-09-27T13:03:03.475849,194,0.3241,0,0.0928,2
2025-09-27T13:03:03.548448,195,0.3209,0,0.0923,2
2025-09-27T13:03:03.595043,196,0.3314,0,0.0918,2
2025-09-27T13:03:03.643509,197,0.3241,0,0.0914,2
2025-09-27T13:03:03.692453,198,0.3261,0,0.0909,2
2025-09-27T13:03:03.741264,199,0.3260,0,0.0905,2
2025-09-27T13:03:03.787896,200,0.3140,0,0.0900,2
2025-09-27T13:03:03.836897,201,0.3178,0,0.0896,2
2025-09-27T13:03:03.879845,202,0.3039,0,0.0891,2
2025-09-27T13:03:03.933823,203,0.3189,0,0.0887,2
2025-09-27T13:03:03.994562,204,0.3262,0,0.0882,2
2025-09-27T13:03:04.045164,205,0.3159,0,0.0878,2
2025-09-27T13:03:04.090847,206,0.3271,0,0.0874,2
2025-09-27T13:03:04.136584,207,0.3112,0,0.0870,2
2025-09-27T13:03:04.189177,208,0.3118,0,0.0865,2
2025-09-27T13:03:04.238324,209,0.3234,0,0.0861,2
2025-09-27T13:03:04.283168,210,0.3149,0,0.0857,2
2025-09-27T13:03:04.332901,211,0.3133,0,0.0853,2
2025-09-27T13:03:04.373621,212,0.3336,0,0.0849,2
2025-09-27T13:03:04.446130,213,0.3336,0,0.0845,2
2025-09-27T13:03:04.490958,214,0.3336,0,0.0841,2
2025-09-27T13:03:04.541203,215,0.3305,0,0.0837,2
2025-09-27T13:03:04.591056,216,0.3247,0,0.0833,2
2025-09-27T13:03:04.637887,217,0.3272,0,0.0829,2
